journal_name,jif,jif_5yr,jif_quartile,category,issn,eissn
Quarterly Journal of Finance,0.4,0.7,Q4,"BUSINESS, FINANCE|Q3|169/231",2010-1392,2010-1406
Ra-Revista de Arquitectura,0.4,0.4,N/A,ARCHITECTURE|N/A|N/A,1138-5596,2254-6332
Urology Case Reports,0.4,0.5,Q4,UROLOGY & NEPHROLOGY|Q4|113/126,N/A,2214-4420
Vestnik Moskovskogo universiteta. Seriya 10. Zhurnalistika,0.4,0.4,Q4,COMMUNICATION|Q4|187/227,0320-8079,0320-8079
Visnyk of V N Karazin Kharkiv National University-Series Geology Geography Ecology,0.4,0.3,Q4,GEOLOGY|Q4|55/60,2410-7360,2411-3913
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0.4,0.8,Q4,PLANT SCIENCES|Q4|244/265,0001-5296,1898-0295
AUSTRALASIAN PARLIAMENTARY REVIEW,0.4,0.5,Q4,POLITICAL SCIENCE|Q4|264/317,1447-9125,1447-9125
Croatian and Comparative Public Administration,0.4,0.3,Q4,PUBLIC ADMINISTRATION|Q4|86/91,1848-0357,1849-2150
East Asian Economic Review,0.4,0.8,Q4,ECONOMICS|Q3|384/597,2508-1640,2508-1667
Estudios de Cultura Maya,0.4,0.4,Q4,ANTHROPOLOGY|Q4|110/139,0185-2574,2448-5179
FACE,0.4,0.5,Q4,,2732-5016,2732-5016
GAYANA,0.4,0.6,Q4,ZOOLOGY|Q4|179/180,0717-652X,0717-6538
Geopoliticas-Revista de Estudios sobre Espacio y Poder,0.4,0.5,Q4,POLITICAL SCIENCE|Q4|253/317,2172-3958,2172-7155
Global Trade and Customs Journal,0.4,0.3,Q4,INTERNATIONAL RELATIONS|Q4|152/165,1569-755X,1875-6468
Indonesian Journal of Forestry Research,0.4,0.6,Q4,FORESTRY|Q4|78/89,2355-7079,2406-8195
International Journal of Mathematics and Physics,0.4,0.3,Q4,"PHYSICS, MULTIDISCIPLINARY|Q4|105/110",2218-7987,2409-5508
International Journal of Radiation Research,0.4,0.5,Q4,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q4|190/204",2322-3243,2322-3243
International Journal of Structural Engineering,0.4,N/A,Q4,"ENGINEERING, CIVIL|Q4|157/181",1758-7328,1758-7336
Journal of Himalayan Earth Sciences,0.4,0.6,Q4,GEOLOGY|Q4|57/60,1994-3237,2305-6959
Journal of Nursology,0.4,0.4,Q4,,2822-2954,2822-2954
Journal of Pediatric Research,0.4,0.5,Q4,PEDIATRICS|Q4|157/186,2147-9445,2147-9445
Journal of Visualized Surgery,0.4,N/A,Q4,,N/A,2221-2965
Korean Journal of International Studies,0.4,0.4,Q4,INTERNATIONAL RELATIONS|Q4|161/165,2233-470X,2288-5072
Perspectives on Global Development and Technology,0.4,0.6,Q4,DEVELOPMENT STUDIES|Q4|60/63,1569-1500,1569-1497
Psihologijske teme,0.4,N/A,Q4,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|190/218",1332-0742,1849-0395
Psychology and Law,0.4,0.3,Q4,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|190/218",2222-5196,2222-5196
Range Management and Agroforestry,0.4,0.5,Q4,AGRONOMY|Q3|86/125,0971-2070,N/A
Russian Journal of Marine Biology,0.4,0.6,Q4,MARINE & FRESHWATER BIOLOGY|Q4|107/119,1063-0740,1608-3377
South African Journal of Child Health,0.4,0.6,Q4,PEDIATRICS|Q4|168/186,1994-3032,1999-7671
Sport TK-Revista Euroamericana de Ciencias del Deporte,0.4,0.5,Q4,SPORT SCIENCES|Q4|118/127,2340-8812,2340-8812
Tijdschrift voor Communicatiewetenschap,0.4,0.3,Q4,COMMUNICATION|Q4|202/227,1384-6930,1875-7286
Turkish Journal of Physiotherapy Rehabilitation-Turk Fizyoterapi ve Rehabilitasyon Dergisi,0.4,0.8,Q4,REHABILITATION|Q3|102/169,2651-4451,2651-446X
Vestnik Samarskogo Gosudarstvennogo Tekhnicheskogo Universiteta-Seriya-Fiziko-Matematicheskiye Nauki,0.4,0.4,Q4,"PHYSICS, MULTIDISCIPLINARY|Q3|81/110",1991-8615,2310-7081
Addicta-The Turkish Journal on Addictions,0.4,0.8,Q4,SUBSTANCE ABUSE|Q4|53/55,2148-7286,2149-1305
AGRONOMIA MESOAMERICANA,0.4,0.5,Q4,AGRONOMY|Q4|94/125,N/A,2215-3608
American Political Thought,0.4,0.4,Q4,POLITICAL SCIENCE|Q4|264/317,2161-1580,2161-1599
Apuntes-Revista de Ciencias Sociales,0.4,0.5,Q3,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q3|183/263",0252-1865,2223-1757
Cukurova University Faculty of Education Journal,0.4,0.5,Q4,EDUCATION & EDUCATIONAL RESEARCH|Q4|606/756,1302-9967,1302-9967
Eurasian Journal of Mathematical and Computer Applications,0.4,0.6,Q4,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q4|114/135",2306-6172,2308-9822
FOOD AND DRUG LAW JOURNAL,0.4,0.4,Q3,PHARMACOLOGY & PHARMACY|Q4|344/354,1064-590X,1064-590X
Indian Journal of Surgery,0.4,0.3,Q4,SURGERY|Q4|260/290,0972-2068,0973-9793
International Journal of Athletic Therapy & Training,0.4,0.5,Q4,SPORT SCIENCES|Q4|120/127,2157-7277,2157-7285
ITEA-Informacion Tecnica Economica Agraria,0.4,0.4,Q4,AGRONOMY|Q4|108/125,1699-6887,2386-3765
Journal of Agricultural & Food Information,0.4,1.4,Q4,AGRONOMY|Q4|100/125,1049-6505,1540-4722
Journal of Contemporary Physics-Armenian Academy of Sciences,0.4,0.3,Q4,"PHYSICS, MULTIDISCIPLINARY|Q4|91/110",1068-3372,1934-9378
Journal of Marine Science and Technology-Taiwan,0.4,0.5,Q4,"ENGINEERING, MULTIDISCIPLINARY|Q4|148/179",1023-2796,2709-6998
Journal of Psychiatric Nursing,0.4,0.9,Q4,PSYCHIATRY|Q4|264/276,2149-374X,2149-374X
Magis-Revista Internacional de Investigacion en Educacion,0.4,0.6,Q4,EDUCATION & EDUCATIONAL RESEARCH|Q4|606/756,2027-1174,2027-1182
Molbank,0.4,0.4,Q4,"CHEMISTRY, ORGANIC|Q4|54/58",N/A,1422-8599
Oxford Medical Case Reports,0.4,0.6,Q3,"MEDICINE, GENERAL & INTERNAL|Q3|228/325",2053-8855,2053-8855
Physiotherapy Practice and Research,0.4,N/A,Q4,REHABILITATION|Q4|164/169,2213-0683,2213-0691
Pielegniarstwo XXI Wieku-Nursing in the 21 Century,0.4,0.3,Q4,NURSING|Q4|184/191,1730-1912,2450-646X
PSYCHIATRIC ANNALS,0.4,0.5,Q4,PSYCHIATRY|Q4|271/276,0048-5713,1938-2456
Russian Journal of Developmental Biology,0.4,0.6,Q4,DEVELOPMENTAL BIOLOGY|Q4|39/39,1062-3604,1608-3326
Scientific and Technical Information Processing,0.4,0.5,Q4,INFORMATION SCIENCE & LIBRARY SCIENCE|Q4|124/160,0147-6882,1934-8118
Studia Quaternaria,0.4,0.5,Q4,"GEOSCIENCES, MULTIDISCIPLINARY|Q4|225/253",1641-5558,2300-0384
African Journal of Information Systems,0.4,0.7,Q4,"COMPUTER SCIENCE, INFORMATION SYSTEMS|Q4|237/249",1936-0282,1936-0282
AKTUELLE UROLOGIE,0.4,0.3,Q4,UROLOGY & NEPHROLOGY|Q4|119/126,0001-7868,1438-8820
BOSQUE,0.4,0.6,Q4,FORESTRY|Q4|83/89,0717-9200,0717-9200
British Columbia Medical Journal,0.4,0.6,Q3,"MEDICINE, GENERAL & INTERNAL|Q3|190/325",0007-0556,0007-0556
British Journal of Psychotherapy,0.4,0.3,Q4,PSYCHIATRY|Q4|247/276,0265-9883,1752-0118
Cadernos Gestao Publica e Cidadania,0.4,0.3,Q4,PUBLIC ADMINISTRATION|Q4|80/91,1806-2261,2236-5710
Communitas,0.4,0.4,Q4,COMMUNICATION|Q3|169/227,1023-0556,2415-0525
CYTOLOGIA,0.4,0.5,Q4,GENETICS & HEREDITY|Q4|182/191,0011-4545,0011-4545
Dusunen Adam-Journal of Psychiatry and Neurological Sciences,0.4,1.0,Q4,PSYCHIATRY|Q4|238/276,1018-8681,1309-5749
INTERNATIONAL JOURNAL OF IBERIAN STUDIES,0.4,0.4,Q3,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|218/263",1364-971X,1758-9150
International Journal of Psychology and Psychological Therapy,0.4,0.8,Q4,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|164/218",1577-7057,1989-2780
Inzynieria Mineralna-Journal of the Polish Mineral Engineering Society,0.4,0.4,Q4,MINING & MINERAL PROCESSING|Q4|30/31,1640-4920,1640-4920
Journal of Computational Methods in Sciences and Engineering,0.4,0.4,Q4,"ENGINEERING, MULTIDISCIPLINARY|Q4|141/179",1472-7978,1875-8983
Journal of Investing,0.4,0.5,Q4,"BUSINESS, FINANCE|Q4|191/231",1068-0896,2168-8613
Journal of Polytechnic-Politeknik Dergisi,0.4,0.5,Q4,"ENGINEERING, MULTIDISCIPLINARY|Q4|161/179",1302-0900,2147-9429
JOURNAL OF THE SOCIETY OF LEATHER TECHNOLOGISTS AND CHEMISTS,0.4,0.3,Q4,"MATERIALS SCIENCE, TEXTILES|Q4|27/29",0144-0322,0144-0322
Journal of Turkish Sleep Medicine-Turk Uyku Tibbi Dergisi,0.4,0.5,Q4,CLINICAL NEUROLOGY|Q4|262/277,2148-1504,2757-850X
Management-Poland,0.4,0.7,Q4,MANAGEMENT|Q4|343/401,1429-9321,2299-193X
METALURGIJA,0.4,0.4,Q4,METALLURGY & METALLURGICAL ENGINEERING|Q4|75/90,0543-5846,1334-2576
P-Adic Numbers Ultrametric Analysis and Applications,0.4,0.4,Q4,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q4|118/135",2070-0466,2070-0474
Pneumon,0.4,0.4,Q4,RESPIRATORY SYSTEM|Q4|92/100,1105-848X,1791-4914
Progress in Neurology and Psychiatry,0.4,0.8,Q4,NEUROSCIENCES|Q4|277/310,1367-7543,1931-227X
Revista Cientifica,0.4,0.4,Q4,"EDUCATION, SCIENTIFIC DISCIPLINES|Q4|76/85",0124-2253,2344-8350
Russian Physics Journal,0.4,0.4,Q4,"PHYSICS, MULTIDISCIPLINARY|Q4|99/110",1064-8887,1573-9228
Scientific Papers-Series D-Animal Science,0.4,0.3,Q4,"AGRICULTURE, DAIRY & ANIMAL SCIENCE|Q4|71/80",2285-5750,2393-2260
Sociologija,0.4,0.3,Q4,SOCIOLOGY|Q4|188/217,0038-0318,0038-0318
Sosyoekonomi,0.4,0.4,Q4,ECONOMICS|Q4|539/597,1305-5577,1305-5577
Sumarski List,0.4,0.4,Q4,FORESTRY|Q4|72/89,0373-1332,1846-9140
WIENER TIERARZTLICHE MONATSSCHRIFT,0.4,0.3,Q4,VETERINARY SCIENCES|Q4|158/167,0043-535X,N/A
Acta Phytotaxonomica et Geobotanica,0.4,0.4,Q4,PLANT SCIENCES|Q4|257/265,1346-7565,2189-7042
ACTA POLONIAE PHARMACEUTICA,0.4,0.5,Q4,PHARMACOLOGY & PHARMACY|Q4|335/354,0001-6837,2353-5288
Anuario de Psicologia,0.4,0.4,Q4,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|171/218",0066-5126,1988-5253
Asthma Allergy Immunology,0.4,0.4,Q4,ALLERGY|Q4|35/39,1308-9234,1308-9234
CESKA A SLOVENSKA NEUROLOGIE A NEUROCHIRURGIE,0.4,0.3,Q4,SURGERY|Q4|270/290,1210-7859,1802-4041
Civil Szemle,0.4,0.4,Q4,PUBLIC ADMINISTRATION|Q4|80/91,1786-3341,1786-3341
Connectist-Istanbul University Journal of Communication Sciences,0.4,0.4,Q4,COMMUNICATION|Q4|209/227,N/A,2636-8943
Diabetes Mellitus,0.4,0.3,Q4,ENDOCRINOLOGY & METABOLISM|Q4|164/186,2072-0351,2072-0378
Direccion y Organizacion,0.4,0.5,Q4,,1132-175X,2171-6323
Ekonomska Misao i Praksa-Economic Thought and Practice,0.4,0.5,Q4,ECONOMICS|Q4|489/597,1330-1039,1848-963X
Eksperimentalnaya Psikhologiya,0.4,0.3,Q4,"PSYCHOLOGY, EXPERIMENTAL|Q4|99/99",2072-7593,2311-7036
Indonesian Journal of Geoscience,0.4,0.5,Q4,"GEOSCIENCES, MULTIDISCIPLINARY|Q4|235/253",2355-9314,2355-9306
Ingenieria del Agua,0.4,0.4,Q4,"ENGINEERING, CIVIL|Q4|159/181",1134-2196,1886-4996
INSTRUMENTS AND EXPERIMENTAL TECHNIQUES,0.4,0.5,Q4,INSTRUMENTS & INSTRUMENTATION|Q4|74/76,0020-4412,1608-3180
International Journal of Theoretical and Applied Finance,0.4,0.5,Q4,"BUSINESS, FINANCE|Q4|195/231",0219-0249,1793-6322
Journal of Astronomical History and Heritage,0.4,0.4,Q4,ASTRONOMY & ASTROPHYSICS|Q4|77/84,1440-2807,1440-2807
JOURNAL OF DIAGNOSTIC MEDICAL SONOGRAPHY,0.4,0.5,Q4,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q4|196/204",8756-4793,1552-5430
Journal of Endocrinology Metabolism and Diabetes of South Africa,0.4,0.6,Q4,ENDOCRINOLOGY & METABOLISM|Q4|170/186,1608-9677,2220-1009
Journal of EndoVascular Resuscitation and Trauma Management,0.4,0.4,Q4,SURGERY|Q4|278/290,2002-7567,2002-7567
Journal of Energy Markets,0.4,0.5,Q4,ECONOMICS|Q4|539/597,1756-3607,1756-3615
Multiagent and Grid Systems,0.4,0.6,Q4,"COMPUTER SCIENCE, THEORY & METHODS|Q4|117/143",1574-1702,1875-9076
Organizatsionnaya Psikologiya,0.4,0.3,Q4,"PSYCHOLOGY, APPLIED|Q4|108/113",2312-5942,2312-5942
PHYSICS OF ATOMIC NUCLEI,0.4,0.4,Q4,"PHYSICS, PARTICLES & FIELDS|Q4|30/30",1063-7788,1562-692X
Politique Europeenne,0.4,0.4,Q4,POLITICAL SCIENCE|Q4|253/317,1623-6297,2105-2875
PROSPECTIVA,0.4,0.5,Q4,SOCIAL WORK|Q4|86/91,0122-1213,2389-993X
Psychiatry and Behavioral Sciences,0.4,0.5,Q4,PSYCHIATRY|Q4|247/276,N/A,2636-834X
Revista CES Psicologia,0.4,0.5,Q4,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|205/218",2011-3080,2011-3080
Revista Finanzas y Politica Economica,0.4,0.6,Q4,ECONOMICS|Q4|466/597,2248-6046,2011-7663
Scientia Forestalis,0.4,0.6,Q4,FORESTRY|Q4|72/89,1413-9324,1413-9324
Upravlenets-The Manager,0.4,0.3,Q4,MANAGEMENT|Q4|361/401,2218-5003,2218-5003
Zeitschrift fur Epileptologie,0.4,0.3,Q4,CLINICAL NEUROLOGY|Q4|268/277,1617-6782,1610-0646
Zeitschrift fur Sportpsychologie,0.4,0.6,Q4,"PSYCHOLOGY, APPLIED|Q4|108/113",1612-5010,2190-6300
Actualidades en Psicologia,0.4,0.6,Q4,PSYCHOLOGY|Q4|89/92,0258-6444,2215-3535
Annals of Library and Information Studies,0.4,0.5,Q4,INFORMATION SCIENCE & LIBRARY SCIENCE|Q4|124/160,0972-5423,0975-2404
Bewegungstherapie und Gesundheitssport,0.4,0.3,Q4,SPORT SCIENCES|Q4|114/127,1613-0863,1613-3269
Biochemistry Moscow-Supplement Series B-Biomedical Chemistry,0.4,0.5,Q4,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q4|304/313,1990-7508,1990-7516
Chilean Journal of Agricultural & Animal Sciences,0.4,0.5,Q4,AGRONOMY|Q4|114/125,0719-3882,0719-3890
Ciencia Animal Brasileira,0.4,N/A,Q4,,1518-2797,1809-6891
Ciudades-Revista del Instituto Universitario de Urbanistica de la Universidad de Valladolid,0.4,0.5,Q4,URBAN STUDIES|Q4|67/77,1133-6579,2445-3943
Elektrotechnik und Informationstechnik,0.4,0.4,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q4|329/352",0932-383X,1613-7620
Ethiopian Journal of Health Development,0.4,0.7,Q4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q4|378/403",1021-6790,1021-6790
European Journal of Tourism Hospitality and Recreation,0.4,0.7,Q4,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q4|111/139",2182-4924,2182-4916
Gefasschirurgie,0.4,0.4,Q4,PERIPHERAL VASCULAR DISEASE|Q4|88/96,0948-7034,1434-3932
Geography and Natural Resources,0.4,0.4,Q4,GEOGRAPHY|Q4|141/171,1875-3728,1875-371X
Geotechnik,0.4,0.5,Q4,"ENGINEERING, GEOLOGICAL|Q4|55/63",0172-6145,2190-6653
Hormigon y Acero,0.4,0.3,Q4,"ENGINEERING, CIVIL|Q4|178/181",0439-5689,2605-1729
Hrvatski Geografski Glasnik-Croatian Geographical Bulletin,0.4,0.6,Q4,GEOGRAPHY|Q4|131/171,1331-5854,1848-6401
Iberoamerican Journal of Development Studies,0.4,0.4,Q4,DEVELOPMENT STUDIES|Q4|62/63,2254-2035,2254-2035
IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,0.4,0.4,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q4|339/352",0916-8508,1745-1337
International Journal on Smart Sensing and Intelligent Systems,0.4,0.9,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q4|329/352",1178-5608,1178-5608
International Productivity Monitor,0.4,0.9,Q4,ECONOMICS|Q4|564/597,1492-9759,1492-9767
Journal of Cotton Science,0.4,0.5,Q4,AGRICULTURAL ENGINEERING|Q4|17/20,1523-6919,1524-3303
Journal of Health and Allied Sciences NU,0.4,0.4,Q3,"MEDICINE, GENERAL & INTERNAL|Q3|243/325",2582-4287,2582-4953
Journal of Insurance Issues,0.4,0.7,Q4,"BUSINESS, FINANCE|Q4|181/231",1531-6076,2332-4244
Journal of Materials and Engineering Structures,0.4,0.6,Q4,"ENGINEERING, MULTIDISCIPLINARY|Q4|148/179",2170-127X,2170-127X
Journal of Planning History,0.4,0.9,Q4,REGIONAL & URBAN PLANNING|Q4|52/54,1538-5132,1552-6585
JOURNAL OF SEISMIC EXPLORATION,0.4,0.4,Q4,GEOCHEMISTRY & GEOPHYSICS|Q4|98/101,0963-0651,N/A
Journal of the Korean Society for Nondestructive Testing,0.4,0.3,Q4,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING|Q4|34/38",1225-7842,2287-402X
Kesmas-National Public Health Journal,0.4,0.5,Q4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q4|384/403",1907-7505,2460-0601
MEASUREMENT TECHNIQUES,0.4,0.4,Q4,INSTRUMENTS & INSTRUMENTATION|Q4|73/76,0543-1972,1573-8906
Moscow University Physics Bulletin,0.4,0.4,Q4,"PHYSICS, MULTIDISCIPLINARY|Q4|99/110",0027-1349,1934-8460
Neurology and Clinical Neuroscience,0.4,0.4,Q4,CLINICAL NEUROLOGY|Q4|268/277,2049-4173,2049-4173
OASIS-Observatorio de Analisis de los Sistemas Internacionales,0.4,0.4,Q4,INTERNATIONAL RELATIONS|Q4|132/165,1657-7558,2346-2132
Pasos-Revista de Turismo y Patrimonio Cultural,0.4,0.6,Q4,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q4|121/139",1695-7121,1695-7121
Physio-Geo,0.4,0.4,Q4,"GEOSCIENCES, MULTIDISCIPLINARY|Q4|206/253",1958-573X,1958-573X
Psychologie du Travail et des Organisations,0.4,0.4,Q4,"PSYCHOLOGY, APPLIED|Q4|112/113",1420-2530,1420-2530
Review of Pacific Basin Financial Markets and Policies,0.4,0.4,Q4,"BUSINESS, FINANCE|Q4|209/231",0219-0915,1793-6705
Scientific Bulletin of Mukachevo State University-Series Economics,0.4,N/A,Q4,,2313-8114,2518-1254
Slovak Journal of Civil Engineering,0.4,0.5,Q4,"ENGINEERING, CIVIL|Q4|159/181",1210-3896,1338-3973
Statistics and Applications,0.4,0.3,Q4,STATISTICS & PROBABILITY|Q4|162/168,2454-7395,2454-7395
TRAVAIL HUMAIN,0.4,0.8,Q4,"PSYCHOLOGY, APPLIED|Q4|104/113",0041-1868,2104-3663
Tydskrif Vir Geesteswetenskappe,0.4,0.2,Q3,SOCIAL ISSUES|Q4|60/67,0041-4751,N/A
Acta Silvae et Ligni,0.4,0.5,Q4,FORESTRY|Q4|83/89,2335-3112,2335-3953
Acta Turistica,0.4,0.5,Q4,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q4|129/139",0353-4316,1848-6061
Architecture Civil Engineering Environment,0.4,0.5,Q4,"ENGINEERING, CIVIL|Q4|164/181",1899-0142,2720-6947
Ars Pharmaceutica,0.4,0.3,Q4,PHARMACOLOGY & PHARMACY|Q4|335/354,0004-2927,2340-9894
Crescent Journal of Medical and Biological Sciences,0.4,0.4,Q3,"MEDICINE, GENERAL & INTERNAL|Q4|268/325",2148-9696,2148-9696
Current Psychiatry Research and Reviews,0.4,0.9,Q4,PSYCHIATRY|Q4|264/276,2666-0822,2666-0830
Hippokratia,0.4,0.6,Q3,"MEDICINE, GENERAL & INTERNAL|Q3|243/325",1108-4189,1108-4189
Homo Oeconomicus-Journal of Behavioral and Institutional Economics,0.4,0.4,Q4,ECONOMICS|Q4|564/597,0943-0180,2366-6161
Interdisciplinaria,0.4,0.6,Q4,"PSYCHOLOGY, MULTIDISCIPLINARY|Q3|155/218",1668-7027,1668-7027
International Journal of e-Collaboration,0.4,0.4,Q4,"COMPUTER SCIENCE, INFORMATION SYSTEMS|Q4|248/249",1548-3673,1548-3681
Investigative Magnetic Resonance Imaging,0.4,N/A,Q4,,N/A,2384-1109
Journal AWWA,0.4,0.5,Q4,WATER RESOURCES|Q4|120/127,0003-150X,1551-8833
Journal of Advanced Simulation in Science and Engineering,0.4,0.4,Q4,"ENGINEERING, MULTIDISCIPLINARY|Q4|148/179",2188-5303,2188-5303
Journal of Horticultural Sciences,0.4,N/A,Q4,HORTICULTURE|Q4|38/38,0973-354X,2582-4899
Journal of Magnetics,0.4,0.5,Q4,"PHYSICS, CONDENSED MATTER|Q4|74/79",1226-1750,2233-6656
Journal of Mental Health and Human Behaviour,0.4,0.4,Q4,PSYCHIATRY|Q4|243/276,0971-8990,2543-1897
Klimik Journal,0.4,0.3,Q3,"MEDICINE, GENERAL & INTERNAL|Q3|243/325",1301-143X,1309-1484
Middle East Journal of Cancer,0.4,0.4,Q4,ONCOLOGY|Q4|304/322,2008-6709,2008-6687
NEW ZEALAND JOURNAL OF PSYCHOLOGY,0.4,0.5,Q4,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|212/218",0112-109X,1179-7924
NOISE CONTROL ENGINEERING JOURNAL,0.4,0.5,Q4,"ENGINEERING, MULTIDISCIPLINARY|Q4|161/179",0736-2501,0736-2501
Paginas de Educacion,0.4,0.5,Q4,EDUCATION & EDUCATIONAL RESEARCH|Q4|579/756,1688-5287,1688-7468
Physics of Particles and Nuclei Letters,0.4,0.5,Q4,"PHYSICS, PARTICLES & FIELDS|Q4|29/30",1547-4771,1531-8567
POWDER DIFFRACTION,0.4,1.9,Q4,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING|Q4|37/38",0885-7156,1945-7413
Przeglad Elektrotechniczny,0.4,0.4,Q4,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q4|339/352",0033-2097,2449-9544
Revista Chilena de Nutricion,0.4,0.6,Q4,NUTRITION & DIETETICS|Q4|101/114,0717-7518,0717-7518
Revista Cuidarte,0.4,0.5,Q4,NURSING|Q4|174/191,2216-0973,2346-3414
Revista Internacional de Metodos Numericos para Calculo y Diseno en Ingenieria,0.4,0.4,Q4,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q4|128/135",0213-1315,N/A
Terra Latinoamericana,0.4,N/A,Q4,SOIL SCIENCE|Q4|49/49,0187-5779,2395-8030
Transport Problems,0.4,0.5,Q4,TRANSPORTATION SCIENCE & TECHNOLOGY|Q4|67/72,1896-0596,2300-861X
Video-Assisted Thoracic Surgery,0.4,0.4,Q4,SURGERY|Q4|270/290,2519-0792,2519-0792
ANNALES DE BIOLOGIE CLINIQUE,0.4,0.4,Q4,"MEDICINE, RESEARCH & EXPERIMENTAL|Q4|175/189",0003-3898,1950-6112
Bauingenieur,0.4,0.6,Q4,"ENGINEERING, CIVIL|Q4|167/181",0005-6650,1436-4867
Bitacora Urbano Territorial,0.4,0.6,Q4,URBAN STUDIES|Q4|70/77,0124-7913,2027-145X
Bulletin of the University of Karaganda-Physics,0.4,0.3,Q4,"PHYSICS, MULTIDISCIPLINARY|Q4|101/110",2518-7198,N/A
Cambio-Rivista sulle Trasformazioni Sociali,0.4,0.3,Q4,SOCIOLOGY|Q4|210/217,2239-1118,2239-1118
Clinical and Experimental Health Sciences,0.4,0.5,Q4,"MEDICINE, RESEARCH & EXPERIMENTAL|Q4|179/189",2459-1459,2459-1459
Computacion y Sistemas,0.4,0.4,Q4,,1405-5546,2007-9737
CONCEPTS IN MAGNETIC RESONANCE PART A,0.4,0.3,Q4,SPECTROSCOPY|Q4|41/44,1546-6086,1552-5023
Empiria,0.4,0.6,Q3,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q3|155/263",1139-5737,2174-0682
Icelandic Agricultural Sciences,0.4,0.4,Q4,"AGRICULTURE, MULTIDISCIPLINARY|Q4|82/89",1670-567X,N/A
INTERCIENCIA,0.4,0.4,Q4,ECOLOGY|Q4|187/195,0378-1844,0378-1844
International Journal of Contemporary Economics and Administrative Sciences,0.4,0.5,Q4,ECONOMICS|Q4|585/597,1925-4423,1925-4423
Iranian Journal of Radiology,0.4,0.4,Q4,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q4|198/204",1735-1065,2008-2711
Journal of Contemporary Medical Sciences,0.4,0.4,Q3,"MEDICINE, GENERAL & INTERNAL|Q4|268/325",2413-0516,2413-0516
Journal of Distribution Science,0.4,N/A,Q4,,1738-3110,2093-7717
Journal of Hard Tissue Biology,0.4,0.4,Q4,"ENGINEERING, BIOMEDICAL|Q4|121/122",1341-7649,1341-7649
Journal of Machinery Manufacture and Reliability,0.4,0.3,Q4,"ENGINEERING, MECHANICAL|Q4|170/180",1052-6188,1934-9394
Journal of the Japan Institute of Metals and Materials,0.4,0.4,Q4,METALLURGY & METALLURGICAL ENGINEERING|Q4|83/90,0021-4876,1880-6880
Klinik Psikiyatri Dergisi-Turkish Journal of Clinical Psychiatry,0.4,0.5,Q4,PSYCHIATRY|Q4|264/276,1302-0099,2146-7153
Malaysian Journal of Microbiology,0.4,0.4,Q4,MICROBIOLOGY|Q4|157/161,1823-8262,2231-7538
Nuovo Cimento C-Colloquia and Communications in Physics,0.4,0.2,Q4,"PHYSICS, MULTIDISCIPLINARY|Q4|101/110",2037-4909,1826-9885
Nutricion Clinica y Dietetica Hospitalaria,0.4,0.4,Q4,NUTRITION & DIETETICS|Q4|104/114,0211-6057,1989-208X
Nutrition Clinique et Metabolisme,0.4,0.5,Q4,NUTRITION & DIETETICS|Q4|101/114,0985-0562,1768-3092
Optoelectronics and Advanced Materials-Rapid Communications,0.4,0.4,Q4,OPTICS|Q4|114/119,1842-6573,2065-3824
Pakistan Journal of Analytical & Environmental Chemistry,0.4,0.6,Q4,"CHEMISTRY, ANALYTICAL|Q4|102/106",1996-918X,2221-5255
PHILIPPINE AGRICULTURAL SCIENTIST,0.4,0.4,Q4,"AGRICULTURE, MULTIDISCIPLINARY|Q4|82/89",0031-7454,N/A
Reports of Forestry Research-Zpravy Lesnickeho Vyzkumu,0.4,0.4,Q4,FORESTRY|Q4|86/89,0322-9688,1805-9872
